,PC-1,PC-2,PC-3,PC-4,PC-5,PC-6,PC-7
White 16-3,315.1895,191.0892,125.5361,-4.20177,-9.92413,-0.01865375,-5.145878
White 17-1,362.1849,195.2522,17.2855,1.124498,0.2776729,-5.425888,0.4690178
White 17-2,359.5776,194.6635,17.78014,0.217443,-0.6685222,-5.73824,0.4910396
White 17-3,361.7208,195.6977,17.22138,0.8061762,0.03312746,-5.247363,0.6349125
White 18-1,337.8379,187.1708,33.18615,-5.232415,-7.543579,-18.73453,2.251619
White 18-2,336.0916,185.9042,33.25798,-5.509396,-7.820168,-18.78155,2.365735
White 18-3,334.4467,184.5249,33.60656,-5.728701,-8.043025,-18.79779,2.336992
White 19-1,345.2719,169.882,5.891569,0.6930929,0.275497,-2.208693,-0.3160763
White 19-2,351.2878,173.507,5.829316,2.057761,1.779696,-1.94395,-0.3551119
White 19-3,358.553,181.8913,5.975632,2.430441,2.185223,-2.216212,-0.6884418
White 20-1,335.0414,165.6215,26.71553,1.270306,-0.6409423,-5.513467,-1.635332
White 20-2,336.2446,168.2313,26.9033,0.9751564,-0.9928666,-5.771135,-1.663847
White 20-3,346.4932,170.6538,26.54849,4.640637,2.999289,-2.737925,-1.88672
White 21-1,359.8944,178.4819,-64.5871,-5.967334,-3.458563,0.2909984,-1.556465
White 21-2,379.8643,186.7216,-66.5645,-0.304825,2.798752,2.830253,-1.677758
White 21-3,371.6153,182.045,-65.96773,-2.147474,0.4997716,0.5327529,-2.031946
White 22-1,382.1539,200.4407,-59.08615,-3.331973,0.3164254,3.650563,2.003532
White 22-2,381.2605,198.8376,-58.50227,-3.109361,0.6263686,4.516125,2.154234
White 22-3,381.7739,198.1261,-58.67463,-2.479806,1.147879,4.781186,1.922877
White 23-1,346.1396,175.3934,-11.20276,-3.697196,-3.891129,-11.05828,0.7914092
White 23-2,342.5503,173.672,-10.29977,-4.464072,-4.888009,-12.17071,0.7331971
White 23-3,342.2153,173.2626,-10.35511,-4.410342,-4.76408,-12.09026,0.7592825
White 24-1,394.9202,210.6414,-62.92263,-0.6975606,3.082481,7.678127,1.292735
White 24-2,400.8838,212.6543,-63.30233,1.242624,5.084797,8.344227,1.100253
White 24-3,391.2643,209.2192,-62.29496,-1.800564,1.964378,7.192074,1.481923
White 25-1,393.4012,210.5808,29.19959,11.67505,13.43472,22.46385,1.90604
White 25-2,402.3681,212.7485,30.17498,15.00454,17.21697,27.39985,2.024886
White 25-3,385.6194,206.2725,32.68028,10.24233,11.50304,20.37917,1.681267
White 26-1,371.153,197.3433,11.81101,4.078329,4.045106,-1.124182,0.4738465
White 26-2,360.5514,185.9961,13.65662,3.534074,3.418053,0.2716138,0.7111862
White 26-3,358.0338,185.0439,13.71995,2.678983,2.513094,0.03645974,0.9091484
White 27-1,343.6911,196.5444,91.30965,2.028065,-1.260669,7.145193,-3.454675
White 27-2,341.6718,196.1777,92.59621,1.453364,-1.961541,6.756276,-3.521413
White 27-3,342.7616,195.9614,93.21195,2.129749,-1.285189,7.110343,-3.530156
White 28-1,370.2117,185.1556,-71.09705,-3.999464,-0.8435156,2.564576,0.0594952
White 28-2,362.3296,182.7813,-69.3271,-6.517428,-3.615615,0.7163115,0.1226905
White 28-3,369.0896,184.1455,-70.75107,-4.061148,-0.9180935,2.442759,-0.04964293
White 29-1,380.6465,203.9533,16.48347,5.396207,5.933324,5.727109,0.7164275
White 29-2,365.1448,190.8988,19.42636,3.623224,3.364201,2.68793,0.4497332
White 29-3,372.9569,200.2019,18.3873,3.59776,3.73878,4.067551,0.7394676
White 30-1,386.3279,200.1547,-59.27976,-0.1342797,3.449048,7.770103,1.239556
White 30-2,389.1682,203.6277,-58.3944,-0.08280125,3.626492,7.952118,1.469357
White 30-3,397.4211,207.2722,-58.41545,2.275934,6.080124,9.228723,1.254695
White 31-1,368.8027,173.7994,-35.16496,4.37857,6.23068,5.346586,-1.783032
White 31-2,366.5006,172.5505,-33.14541,4.095099,5.798052,4.38644,-1.694349
White 31-3,377.274,175.7383,-33.06445,7.710404,9.719133,7.738307,-2.035195
White 32-1,383.2287,210.0771,6.738592,2.658047,3.823385,5.483356,1.613536
White 32-2,380.4727,206.971,8.377389,2.810618,3.768689,5.394182,1.490629
White 32-3,377.5591,205.2205,8.981215,2.257765,3.1141,4.909733,1.516822
White 33-1,345.0543,156.6327,-67.30785,-5.941555,-2.545773,3.776019,0.2983074
White 33-2,349.8532,157.9657,-66.45872,-4.245089,-0.6765308,4.539681,0.330228
White 33-3,343.1012,153.9017,-60.95763,-5.014739,-1.823754,3.093834,0.3366672
White 34-1,309.9767,170.1844,101.097,-2.273873,-6.705275,-0.4295549,-3.530016
White 34-2,307.5459,161.8801,101.2106,-0.4127029,-4.809997,0.6067249,-3.721946
White 34-3,331.5703,190.3152,98.99668,0.6809348,-2.889327,5.492295,-2.755889
White 35-1,386.1925,227.9289,80.02468,8.353672,7.420235,19.36652,-1.432627
White 35-2,384.9142,225.9876,78.68311,8.54144,7.514791,18.8691,-1.534764
White 35-3,379.418,223.6701,79.82242,7.132353,6.049184,18.75385,-1.304332
White 36-1,372.8899,185.5046,-48.16457,0.1032328,3.47222,6.157083,2.363903
White 36-2,371.1659,184.7226,-47.23944,-0.4158933,2.782996,5.203262,2.361744
White 36-3,366.7418,183.1557,-46.20416,-1.757845,1.380888,3.799907,2.541075
